Administrative,Informational,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,1,0,20,2000,0,0,2,1,1,1,1,1,0,0
0,0,2,64,0,1000,0,0,2,2,2,1,2,1,0,0
0,0,1,0,20,2000,0,0,2,4,1,9,3,1,0,0
0,0,2,3,5,1400,0,0,2,3,2,2,4,1,0,0
0,0,10,628,2,500,0,0,2,3,3,1,4,1,1,0
0,0,19,155,2,246,0,0,2,2,2,1,3,1,0,0
0,0,1,0,20,2000,0,4,2,2,4,3,3,1,0,0
1,0,0,0,20,2000,0,0,2,1,2,1,5,1,1,0
0,0,2,37,0,1000,0,8,2,2,2,2,3,1,0,0
0,0,3,738,0,223,0,4,2,2,4,1,2,1,0,0
0,0,3,395,0,667,0,0,2,1,1,3,3,1,0,0
0,0,16,408,2,259,0,4,2,1,1,4,3,1,0,0
0,0,7,281,0,286,0,0,2,1,1,1,3,1,0,0
0,0,6,98,0,667,0,0,2,2,5,1,3,1,0,0
0,0,2,68,0,1000,0,0,2,3,2,3,3,1,0,0
2,0,23,1669,1,164,0,0,2,1,1,9,3,1,0,0
0,0,1,0,20,2000,0,0,2,1,1,4,3,1,0,0
0,0,13,335,0,77,0,0,2,1,1,1,4,1,1,0
0,0,2,32,0,1000,0,0,2,2,2,1,3,1,0,0
0,0,20,2982,0,100,0,0,2,2,4,4,4,1,0,0
0,0,8,137,0,84,0,10,2,2,2,5,1,1,1,0
0,0,2,0,20,2000,0,0,2,3,3,1,3,1,0,0
0,0,3,105,0,334,0,0,2,3,2,1,5,1,0,0
0,0,2,15,0,1000,0,8,2,2,4,1,3,1,0,0
0,0,1,0,20,2000,0,0,2,2,2,4,1,1,1,0
0,0,5,156,0,400,0,0,2,1,1,9,3,1,0,0
4,0,32,1136,1,96,0,0,2,2,2,1,3,1,0,0
0,0,4,76,5,1000,0,0,2,1,1,1,3,1,0,0
